config,seed,epoch,h_alpha,rho,s_tau,train_loss,val_acc
full,45,12,0.6157663317154513,3.294684521930136,0.2982597351074219,0.006218885494447154,0.9981402763018066
full,45,13,0.6249451018031664,3.295930581051172,0.2968006134033203,0.0054723061273050455,0.9958585984872164
full,45,14,0.563155902092212,3.189343330305491,0.3003425598144531,0.005471606503554983,0.9982965556041757
full,45,15,0.5985442713937236,3.1344332868282647,0.2979159355163574,0.005401077884946085,0.9978902294180159
full,45,16,0.4951392302793022,3.1759654121059206,0.3162870407104492,0.0046380201361055804,0.9987966493717572
full,45,17,0.5986784607110772,3.2537907439703626,0.3130507469177246,0.004530136473961217,0.9986872538600988
full,46,0,0.6807342299160042,3.081192809844327,0.12102890014648438,0.18069578968992284,0.9904357066950054
full,46,1,0.7003405057463097,4.6661850190498475,0.17702531814575195,0.041216497007698596,0.9910295680440082
full,46,2,0.6944136999436094,5.2537292186267806,0.19392728805541992,0.023134261761436358,0.9954835281615303
full,46,3,0.6762217560931179,5.219129442674674,0.21793794631958008,0.01888979503554493,0.9953272488591611
full,46,4,0.6512879942724521,5.643596271143979,0.23045873641967773,0.014408508613576279,0.9921078952303557
full,46,5,0.6305608484842645,5.705784892443736,0.25034523010253906,0.011815693319513586,0.9982809276739388
full,46,6,0.6418614222763082,5.888001208140521,0.2614889144897461,0.009570595128518024,0.9982027880227543
full,46,7,0.5510073233261596,5.978123648955472,0.28490543365478516,0.009089950161401265,0.9984215790460711
full,46,8,0.594597578486302,6.057613354903786,0.28489160537719727,0.007930617847761359,0.9982652997437019
full,46,9,0.5706598591308374,6.0506069580897055,0.28726959228515625,0.007007847070814008,0.9987497655810464
full,46,10,0.6200296201041244,6.083086875538367,0.29433298110961914,0.00626904136559342,0.99649934362693
full,46,11,0.6209186025233626,6.6049192839269475,0.2977733612060547,0.0058621246392720995,0.9986091142089142
full,46,12,0.44746786918279136,6.015029071590111,0.32741546630859375,0.005463244914686305,0.9979839969994374
full,46,13,0.47165303239025413,6.178726286405898,0.3260784149169922,0.004840397383888555,0.997671438394699
full,46,14,0.4129584469219802,6.310914151115993,0.33176612854003906,0.004347438873216576,0.9929986872538601
full,46,15,0.42193688691071357,5.494197679016233,0.3209114074707031,0.004628563041712262,0.9972963680690129
full,46,16,0.4699409804114438,5.815677060573909,0.32312917709350586,0.0048940089135456845,0.99629618053385
full,46,17,0.4400851972519535,6.441556085759438,0.325439453125,0.003926788696944481,0.997671438394699
full,46,18,0.4840508836310784,6.3065148780459825,0.3373246192932129,0.003554045291681348,0.9990466962555479
full,46,19,0.5288287525508691,6.305740131778796,0.3266587257385254,0.003947302193003138,0.9994999062324186
full,46,20,0.40982541856102944,5.824271492255862,0.33966732025146484,0.0038057708778511516,0.9984840907670188
full,46,21,0.4466175540099596,6.045217109450257,0.3339505195617676,0.0026824429596121893,0.998046508720385
full,46,22,0.4232532370477054,5.734932831618155,0.34482765197753906,0.003738697166420146,0.9983121835344128
full,46,23,0.543144317313311,5.4815635483573075,0.33565425872802734,0.0030558339086572046,0.9976245546039882
full,46,24,0.49667871228353594,5.525490455358626,0.3389420509338379,0.0037854146668902236,0.9989529286741264
full,46,25,0.47438973323905265,5.965132992429727,0.3399620056152344,0.002593566380190508,0.9990779521160218
full,46,26,0.5208224548236771,5.645706546360854,0.3379702568054199,0.0028792949710825405,0.9991404638369694
full,46,27,0.5305453293086433,5.986739701015923,0.335390567779541,0.002647010064669088,0.9995780458836032
full,46,28,0.5051236703227089,6.111132903271896,0.33704137802124023,0.003018235163756461,0.9990154403950741
full,46,29,0.46363293864984895,5.602478327381324,0.33991050720214844,0.0023391950661805993,0.9985622304182035
full,46,30,0.4394884305019965,6.101888157739318,0.35172510147094727,0.0024664261985404942,0.999234231418391
full,46,31,0.4316322509532814,6.346799773729832,0.3515801429748535,0.001982434302060835,0.9983590673251235
full,46,32,0.40219986937331303,5.920306502082147,0.3498415946960449,0.002480742029368592,0.9995467900231293
full,46,33,0.38013107242441,5.410476496326466,0.3543825149536133,0.00221607659253292,0.9985622304182035
full,46,34,0.38484964588345083,5.3159031208042435,0.3486771583557129,0.0020687909108938027,0.9984997186972557
full,46,35,0.4267796070193649,5.9596029135622235,0.3477005958557129,0.002210360747993585,0.9989998124648372
full,46,36,0.3965748644892082,5.112661602374717,0.35741472244262695,0.0025776088061151255,0.999437394511471
full,46,37,0.3166401718332538,5.149368051882282,0.3518996238708496,0.0022760244827349117,0.998843533162468
full,47,0,0.7318570483868845,2.4142771905133262,0.10562801361083984,0.18677581212628333,0.9728855410389448
full,47,1,0.6704305297349151,3.1260830760642935,0.1452007293701172,0.047942241577525434,0.9882009126711259
full,47,2,0.7049814823810531,3.3754041219194306,0.16742229461669922,0.027835765889210263,0.9948115271613428
full,47,3,0.6896494872455594,4.022785321189833,0.1792912483215332,0.021573139342750305,0.9970775770456961
full,47,4,0.6996097057548052,4.13577282371224,0.19873714447021484,0.0158078278529215,0.994373945114709
full,47,5,0.6841469938081766,4.049777591324107,0.20413780212402344,0.012643203285638817,0.9761830343189348
full,47,6,0.6150217027060401,4.081303962786324,0.2320265769958496,0.010937432364919902,0.9959679939988748
full,47,7,0.5920859070947359,4.069128015086769,0.24294519424438477,0.010123916724538032,0.9984215790460711
full,47,8,0.7332720203596479,3.9094726363722265,0.22995471954345703,0.008460026352093603,0.995733575045321
full,47,9,0.5635523584159379,4.190257569981007,0.25875329971313477,0.00684655958485175,0.9987341376508095
full,47,10,0.6274321490181163,4.048839558911992,0.2557969093322754,0.007337259329044011,0.9977183221854098
full,47,11,0.6265258942391879,4.103619882956409,0.2675485610961914,0.006791336066091998,0.9988279052322311
full,47,12,0.7018102438194542,3.832234228280215,0.2609696388244629,0.005939519817401025,0.9992029755579172
full,47,13,0.6193000897533564,4.029335031636217,0.271881103515625,0.005383665987541317,0.9991248359067325
full,47,14,0.6135491172844828,4.29643524408348,0.2824249267578125,0.0054206268618169715,0.9981090204413328
full,47,15,0.5859378468101049,4.052188267285621,0.28421974182128906,0.004943889011972159,0.9993279989998125
full,47,16,0.6582803789373052,3.9334423496215445,0.28081321716308594,0.004044601725163044,0.9977652059761205
