config,seed,final.H_alpha,final.S_tau,final.accuracy,final.alpha_tvar,final.epochs_run,final.macro_f1,final.per_class_alpha,final.per_class_alpha.0,final.per_class_alpha.1,final.per_class_alpha.10,final.per_class_alpha.11,final.per_class_alpha.12,final.per_class_alpha.13,final.per_class_alpha.14,final.per_class_alpha.15,final.per_class_alpha.16,final.per_class_alpha.17,final.per_class_alpha.2,final.per_class_alpha.3,final.per_class_alpha.4,final.per_class_alpha.5,final.per_class_alpha.6,final.per_class_alpha.7,final.per_class_alpha.8,final.per_class_alpha.9,final.perm_null,final.perm_null.null_mean,final.perm_null.null_std,final.perm_null.observed_var,final.perm_null.z,final.rho_last
full_fixed_global,44,0.9543217871135516,0.05509655550122261,0.7802071346375143,0.0,13,0.6158583382077025,,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251521706581116,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521110534668,,0.0,0.0,0.0,,1.7903146694020906
full_fixed_global,45,0.9543217871135516,0.0621478371322155,0.766398158803222,0.0,18,0.6450439619859397,,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251521706581116,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521110534668,,0.0,0.0,0.0,,1.4007769996645767
full_fixed_global,46,0.9543217871135516,0.05689740926027298,0.7733026467203682,0.0,23,0.7052372883574386,,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251521706581116,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521110534668,,0.0,0.0,0.0,,2.1704918807188838
full_fixed_global,47,0.9543217871135516,0.07091063261032104,0.7710011507479861,0.0,22,0.6277585005037117,,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251521706581116,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521110534668,,0.0,0.0,0.0,,1.578413283994361
full_fixed_global,48,0.9543217871135516,0.059059977531433105,0.7756041426927502,0.0,17,0.6925640913333834,,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251521706581116,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521110534668,,0.0,0.0,0.0,,1.699138048856008
full_fixed_global,49,0.9543217871135516,0.06950969994068146,0.7848101265822784,0.0,27,0.7077847429747633,,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251521706581116,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521110534668,,0.0,0.0,0.0,,1.6032340375066214
full_fixed_global,50,0.9543217871135516,0.056764379143714905,0.7756041426927502,0.0,36,0.7044419329571815,,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251521706581116,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521110534668,,0.0,0.0,0.0,,1.903300540581412
full_fixed_global,51,0.9543217871135516,0.06695535778999329,0.7802071346375143,0.0,26,0.7034419459588764,,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251521706581116,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251522302627563,0.6251521706581116,0.6251521706581116,0.6251521706581116,0.6251522302627563,0.6251521110534668,,0.0,0.0,0.0,,1.8906562614820954
full_r1_r2_r3,42,0.5080289647003977,0.11696555465459824,0.7802071346375143,0.019563686102628708,23,0.7119162935022367,,0.5988197922706604,0.5934221744537354,0.4280560314655304,0.4481349289417267,0.49867284297943115,0.4774778485298157,0.5102651119232178,0.5888667702674866,0.59316086769104,0.5451958775520325,0.46022796630859375,0.4470461308956146,0.6502945423126221,0.45098230242729187,0.4461432993412018,0.6071313619613647,0.5776064395904541,0.589969277381897,,0.009361190255731344,2.6510078113330964e-05,0.019563686102628708,384.85346661100294,0.8142186664123191
full_r1_r2_r3,43,0.6151747135168734,0.0907755047082901,0.7986191024165707,0.014761303551495075,17,0.6774868811840327,,0.5572285652160645,0.5311319828033447,0.471171110868454,0.47961196303367615,0.478714257478714,0.47579750418663025,0.5437794923782349,0.5368449687957764,0.5324262380599976,0.5027524828910828,0.493137001991272,0.4914047122001648,0.5570563673973083,0.4874647855758667,0.4841417968273163,0.5438027381896973,0.5357071757316589,0.5359007120132446,,0.008811571868136525,2.2871886685171082e-05,0.014761303551495075,260.132952961991,0.9458379283018097
