config,seed,final.H_alpha,final.S_tau,final.accuracy,final.alpha_tvar,final.degradation.bias,final.degradation.downsample,final.degradation.drift,final.degradation.dropout,final.degradation.gaussian_noise_snr10,final.degradation.gaussian_noise_snr20,final.degradation.stuck,final.epochs_run,final.macro_f1,final.per_class_alpha,final.per_class_alpha.0,final.per_class_alpha.1,final.per_class_alpha.2,final.per_class_alpha.3,final.perm_null,final.perm_null.null_mean,final.perm_null.null_std,final.perm_null.observed_var,final.perm_null.z,final.rho_last
wo_spectral,46,,0.31762635707855225,0.9976870301780049,,0.7602325472361573,0.9132480035007111,0.6908434525763045,0.9281729101223686,0.8396236735586916,0.9944207417131605,0.7954584524981637,29,0.9978681044322607,,,,,,,,,,,
wo_spectral,47,,0.33692553639411926,0.9980464781908825,,0.7495116195477206,0.9406910778751933,0.6713394908340756,0.9273289887008298,0.8320440089393158,0.9949520996452405,0.7971462953412412,40,0.9981997694161869,,,,,,,,,,,
wo_spectral,48,,0.30021852254867554,0.9989841686592589,,0.7576538984481223,0.9357994592651633,0.5494084735961993,0.9362057918014597,0.8489224373700908,0.9958429055901981,0.7973494616093894,28,0.9990633489056031,,,,,,,,,,,
wo_spectral,49,,0.3237118124961853,0.9971087877225061,,0.7534342913404285,0.9257817994280089,0.5839154828324503,0.931704877553253,0.8358885398596589,0.9943113444918499,0.8011627361807867,37,0.997510794985782,,,,,,,,,,,
wo_spectral,50,,0.3047255873680115,0.997405723037492,,0.756966258771313,0.9211402316095457,0.6750902527075813,0.936112022754622,0.8426867957553879,0.9942019472705393,0.7883788894619219,21,0.9968072027959729,,,,,,,,,,,
wo_spectral,51,,0.3341900408267975,0.9979683373185179,,0.7609358150874397,0.9332208104771281,0.5555034616406458,0.9321112100895494,0.8220419772766343,0.9954678294028475,0.8001781611889915,39,0.9981574992720226,,,,,,,,,,,
wo_temporal,42,,0.26163262128829956,0.9726038101489365,,0.9726038101489365,0.7563255036179224,0.3965805554253208,0.3701689405660525,0.374966790129245,0.42335161829746665,0.6618063044055824,59,0.9769791637156738,,,,,,,,,,,
wo_temporal,43,,0.2656036913394928,0.9703220966758873,,0.9703220966758873,0.7454014096613375,0.22668667072999202,0.1875380936752778,0.1875380936752778,0.1904136777782987,0.7027677496991577,43,0.9748883902915143,,,,,,,,,,,
wo_temporal,44,,0.23947612941265106,0.972478784753153,,0.972478784753153,0.7777517308203229,0.37151296357072533,0.2289527560285683,0.18810070795630363,0.3932986387860034,0.6780439776829669,37,0.9769847425901879,,,,,,,,,,,
wo_temporal,45,,0.27131739258766174,0.9719317986466001,,0.9719317986466001,0.7399940612937003,0.3080000625126979,0.20333817806741994,0.23260974885523622,0.2599746823573538,0.6188913373028897,53,0.9764110800085153,,,,,,,,,,,
wo_temporal,46,,0.25214332342147827,0.9728226045915577,,0.9728226045915577,0.7690624658133683,0.31237595136512103,0.2300936127650929,0.1875380936752778,0.3403660118461562,0.6572585056339569,40,0.9776798458782608,,,,,,,,,,,
wo_temporal,47,,0.2591942250728607,0.970415865722725,,0.970415865722725,0.7388219482082298,0.3802959976245175,0.16669010892837607,0.18489693218935097,0.35415006173128916,0.6714645162298591,40,0.9754930366817773,,,,,,,,,,,
wo_temporal,48,,0.2481229603290558,0.9692593808117274,,0.9692593808117274,0.7428071326988295,0.23078125244190226,0.18760060637316955,0.1875380936752778,0.18794442621157423,0.6894681732226858,30,0.9740653776845569,,,,,,,,,,,
wo_temporal,49,,0.26583901047706604,0.9736352696641505,,0.9736352696641505,0.7457296013252692,0.25433291137262254,0.3392876678075234,0.31728319814962413,0.38539078250269587,0.6638848516104834,53,0.9775970632642219,,,,,,,,,,,
wo_temporal,50,,0.2578180432319641,0.9703064685014143,,0.9703064685014143,0.7399471767702814,0.2665854001594074,0.18930407739072,0.18777251629237188,0.21083970181443107,0.645787425570819,40,0.9749699854568059,,,,,,,,,,,
wo_temporal,51,,0.2522912323474884,0.9710097363526966,,0.9710097363526966,0.7504649381905699,0.22643661993842498,0.19255473768109146,0.1875380936752778,0.3229562254833013,0.6501945707721881,41,0.97584398425288,,,,,,,,,,,
